Incident_ID,schoolaffiliation,age_cat,shooterdied
19881101FLPAJ,Student,Teen,No
19881107UTGLS,Student,Teen,No
19881122TXABA,Student,Teen,No
19881216VAATV,Student,Teen,No
19890105ARHEL,Unknown,Teen,No
19890117CACLS,Former Student,Adult,Yes
19890126DCWOW,Student,Teen,No
19890126DCWOW,Student,Teen,No
19890210UTTHK,Student,,No
19890303INWIG,Student,Teen,No
19890426TXAMD,Nonstudent,Teen,No
19890911AZDYE,Student,,No
19890918KYJAM,Student,Teen,No
19891005CALOA,Student,Teen,No
19891031TXOLD,Student,Teen,No
19891113NYALN,Student,Teen,No
19891115TXWOA,Student,Teen,No
19891122CACHO,Unknown,Teen,No
19891204LACAS,Student,Teen,No
19891205PASEM,Student,Teen,Yes
19891205TXWWD,Unknown,Teen,No
19891212SCCHC,Former Student,,No
19900116RICEP,Student,Teen,No
19900220OHTAC,Student,Teen,No
19900327NYNEB,Student,Teen,No
19900403TXSKD,Student,Teen,No
19900504CAMOE,Student,Teen,No
19900520TNHIC,Teacher,Adult,No
19900531TXSUF,No Relation,Teen,No
19900824NCMYC,Unknown,,No
19900827NVELL,Student,Teen,No
19900827TXWHD,Unknown,,No
19900911TXSAS,Student,,No
19900922ALLEB,Unknown,,No
19901002TXWHD,No Relation,Adult,No
19901029INCHC,Student,Teen,No
19901030TXNAG,Parent,Adult,No
19901213LASAS,Unknown,,No
19910108TXRIR,Student,Teen,Yes
19910117TXHOD,Unknown,,No
19910117TXHOD,Unknown,,No
19910219LABON,No Relation,Teen,No
19910313ALSES,Student,Teen,No
19910314SCWOP,Former Student,Teen,No
19910314SCWOP,Former Student,,No
19910325NCGAC,Former Student,Teen,No
19910411SCNOR,Student,Teen,Yes
19910423CARAC,Unknown,Teen,No
19910423CARAC,Unknown,Teen,No
19910423MSHUB,Student,Teen,No
19910510OHFRC,Student,Teen,No
19910516KSCOK,Student,Teen,No
19910521CAROS,No Relation,Teen,No
19910521FLSCP,Student,Teen,No
19910722CAWEL,Unknown,,No
19910730CAENC,Student,,No
19910913TXMAH,Nonstudent Using Athletic Facilities/Attending Game,,No
19910917ILWOC,Student,Teen,No
19910918TXCRC,Student,Teen,No
19911002TXSPH,Student,Teen,No
19911004CADOL,Unknown,,No
19911004CAROL,Nonstudent Using Athletic Facilities/Attending Game,,No
19911009NYJAB,Unknown,,No
19911011MAMAR,Unknown,Teen,No
19911015NHMOS,Former Student,Teen,No
19911015SCWOW,Student,Teen,No
19911015TXGEP,No Relation,Teen,No
19911023TXOAD,Relative,Teen,No
19911106LAWAN,Student,Teen,No
19911111TXYSE,Former Student,Teen,No
19911111TXYSE,Former Student,Teen,No
19911111TXYSE,Former Student,Teen,No
19911111TXYSE,Former Student,Teen,No
19911114TXMIH,Student,Teen,No
19911125NYTHB,Student,Teen,No
19911226NCWHW,Nonstudent Using Athletic Facilities/Attending Game,Teen,No
19920128LAFRG,Student,Teen,No
19920131LAFRG,Student,Teen,No
19920206OKDOO,Student,Teen,No
19920207VABON,No Relation,,No
19920226NYTHB,Student,Teen,No
19920305OHHAO,Student,,No
19920331LAOPA,Student,Teen,No
19920409FLFOF,Student,Teen,No
19920417TXLID,Unknown,,No
19920501CALIO,Former Student,Teen,No
19920514CASIN,Student,Teen,No
19920514TXHUH,Student,Teen,No
19920529CAVEL,Unknown,,No
19920606CAMEM,Student,Teen,No
19920911TXPAA,Student,Teen,No
19920928CAHIS,Student,Teen,No
19920928CAHIS,Student,Teen,No
19920928CAHIS,Student,Teen,No
19920930TXHOH,Student,Teen,No
19921013AZDET,No Relation,Teen,No
19921019NYEVB,Student,,No
19921104MIFID,Student,Minor,No
19921104MIFID,Student,Teen,No
19921104MIFID,Student,Teen,No
19921104MIMAD,Unknown,,No
19921104MIMUD,No Relation,Teen,No
19921104MIMUD,No Relation,Teen,No
19921104MIMUD,No Relation,Teen,No
19921110ILSHC,Student,Teen,Yes
19921113TXLAC,Intimate Relationship,Adult,Yes
19921116ALFAB,Student,Teen,No
19921120ILTIC,Student,Teen,No
19921124ALROM,Student,Teen,No
19921130ILORC,Student,Teen,No
19921203ILWOC,Nonstudent Using Athletic Facilities/Attending Game,Adult,No
19921203ILWOC,Nonstudent Using Athletic Facilities/Attending Game,Adult,No
19921214NYWAW,Student,Teen,No
19930105NYBRB,Rival School Student,Teen,No
19930105NYBRB,Rival School Student,Teen,No
19930112FLNOM,Student,Teen,No
19930118KYEAG,Student,Teen,No
19930121CAFAL,Student,Teen,No
19930201NYAMA,Student,Teen,No
19930201WARER,Student,Teen,Yes
19930204GACLA,Nonstudent,Teen,No
19930208DCWAW,Unknown,,No
19930208MNMIM,Student,Teen,Yes
19930222CAREL,Student,Teen,No
19930226MAGLG,Student,Teen,Yes
19930308VADOD,No Relation,Adult,No
19930318GAHAH,Student,Teen,No
19930325MOSUS,Student,Teen,No
19930403CAGRS,Unknown,,No
19930415MAFOA,No Relation,Adult,No
19930416CAGRS,Unknown,,No
19930416WAMOT,No Relation,Adult,Yes
19930514TXNII,Student,Teen,No
19930524PAUPP,Student,Teen,No
19930527LAFRN,Student,Teen,No
19930707CADOL,Student,Teen,No
19930803NYTHN,Unknown,,No
19930831GAHAA,Student,Teen,No
19930901KSJUJ,Student,Teen,No
19930902TXROD,Student,Teen,No
19930916ILROC,Unknown,,No
19930917ILDOD,Other Student,Teen,No
19930917WYCES,No Relation,Adult,Yes
19930925DCWEW,Nonstudent Using Athletic Facilities/Attending Game,Adult,No
19930925DCWEW,Nonstudent Using Athletic Facilities/Attending Game,Teen,No
19930928MSCOG,Student,Teen,No
19931012DEDON,Student,Teen,Yes
19931018DCJHW,Student,Teen,No
19931101ILSUC,Student,Teen,No
19931104CTNEN,Unknown,Teen,No
19931104FLTEJ,Student,Teen,No
19931104MSBAB,Unknown,,No
19931111ILRIS,Unknown,,No
